NFX,2/24/2016,0.3,0.0192,NEWFIELD EXPLORATION CO
LUK,2/19/2016,0.18,0.02,LEUCADIA NATIONAL CORP
NFLX,1/19/2016,0.07,0.021,NETFLIX INC
RRC,2/25/2016,0.25,0.088,RANGE RESOURCES CORP
RIG,2/24/2016,1.68,0.6517,TRANSOCEAN LTD
AA,1/11/2016,0.04,0.0156,ALCOA INC
FSLR,2/23/2016,1.6,0.774,FIRST SOLAR INC
NUE,1/28/2016,0.46,0.226,NUCOR CORP
APA,2/25/2016,-0.06,-0.489,APACHE CORP
OKE,2/22/2016,0.9263,0.508,ONEOK INC
ADSK,2/25/2016,0.21,0.1163,AUTODESK INC
EQT,2/4/2016,-0.06,-0.191,EQT CORP
GRMN,2/17/2016,0.74,0.476,GARMIN LTD
MON,1/6/2016,-0.11,-0.231,MONSANTO CO
SEE,2/10/2016,0.76,0.5,SEALED AIR CORP
SWN,2/25/2016,-0.02,-0.041,SOUTHWESTERN ENERGY CO
APC,2/1/2016,-0.57,-1.1017,ANADARKO PETROLEUM CORP
EIX,2/23/2016,0.88,0.595,EDISON INTERNATIONAL
DO,2/8/2016,0.7712,0.5244,DIAMOND OFFSHORE DRILLING
PXD,2/10/2016,-0.18,-0.3326,PIONEER NATURAL RESOURCES CO
COG,2/19/2016,-0.02,-0.0368,CABOT OIL & GAS CORP
PNW,2/19/2016,0.37,0.256,PINNACLE WEST CAPITAL
MUR,1/27/2016,-0.76,-1.305,MURPHY OIL CORP
SNDK,1/27/2016,1.26,0.8971,SANDISK CORP
GAS,2/11/2016,0.94,0.67,AGL RESOURCES INC
CTXS,1/27/2016,1.66,1.1921,CITRIX SYSTEMS INC
TRIP,2/11/2016,0.45,0.3277,TRIPADVISOR INC
BAX,2/2/2016,0.43,0.316,BAXTER INTERNATIONAL INC
WYNN,2/11/2016,1.03,0.758,WYNN RESORTS LTD
DOW,2/2/2016,0.93,0.693,DOW CHEMICAL CO/THE
MS,1/19/2016,0.43,0.321,MORGAN STANLEY
GS,1/20/2016,4.7758,3.573,GOLDMAN SACHS GROUP INC
SNI,2/23/2016,1.35,1.0112,SCRIPPS NETWORKS INTER-CL A
BMY,1/28/2016,0.38,0.286,BRISTOL-MYERS SQUIBB CO
INTU,2/25/2016,0.25,0.191,INTUIT INC
TSN,2/5/2016,1.15,0.89,TYSON FOODS INC-CL A
PH,1/26/2016,1.52,1.178,PARKER HANNIFIN CORP
DRI,12/18/2015,0.54,0.42,DARDEN RESTAURANTS INC
HAL,1/25/2016,0.31,0.2411,HALLIBURTON CO
LEG,2/1/2016,0.64,0.5033,LEGGETT & PLATT INC
SLG,1/27/2016,1.61,1.6055,SL GREEN REALTY CORP
ESRX,2/16/2016,1.56,1.5557,EXPRESS SCRIPTS HOLDING CO
CNC,2/9/2016,0.95,0.948,CENTENE CORP
FISV,2/2/2016,1,0.998,FISERV INC
XYL,2/4/2016,0.6,0.5987,XYLEM INC
AVB,2/3/2016,1.99,1.986,AVALONBAY COMMUNITIES INC
FIS,2/9/2016,0.93,0.9282,FIDELITY NATIONAL INFO SERV
WEC,2/4/2016,0.63,0.629,WEC ENERGY GROUP INC
AMG,2/2/2016,3.61,3.604,AFFILIATED MANAGERS GROUP
PX,1/29/2016,1.47,1.468,PRAXAIR INC
MDT,3/1/2016,1.06,1.059,MEDTRONIC PLC
JCI,1/28/2016,0.82,0.819,JOHNSON CONTROLS INC
VIAB,2/9/2016,1.18,1.179,VIACOM INC-CLASS B
TDC,2/4/2016,0.7,0.6996,TERADATA CORP
DGX,1/28/2016,1.19,1.186,QUEST DIAGNOSTICS INC
DHR,1/26/2016,1.27,1.27,DANAHER CORP
CPB,2/25/2016,0.87,0.87,CAMPBELL SOUP CO
BF/B,3/2/2016,0.94,0.94,BROWN-FORMAN CORP-CLASS B
PEP,2/11/2016,1.06,1.06,PEPSICO INC
CELG,1/28/2016,1.18,1.18,CELGENE CORP
TYC,1/29/2016,0.42,0.42,TYCO INTERNATIONAL PLC
USB,1/15/2016,0.7905,0.791,US BANCORP
CBS,2/11/2016,0.92,0.921,CBS CORP-CLASS B NON VOTING
FOXA,2/8/2016,0.44,0.4404,TWENTY-FIRST CENTURY FOX-A
BBBY,1/7/2016,1.09,1.091,BED BATH & BEYOND INC
HPQ,2/24/2016,0.36,0.3604,HP INC
CVS,2/9/2016,1.53,1.532,CVS HEALTH CORP
EMC,1/27/2016,0.647,0.648,EMC CORP/MA
HUM,2/10/2016,1.45,1.453,HUMANA INC
EXR,2/23/2016,0.87,0.872,EXTRA SPACE STORAGE INC
HON,1/29/2016,1.58,1.584,HONEYWELL INTERNATIONAL INC
MRO,2/17/2016,-0.48,-0.4787,MARATHON OIL CORP
AWK,2/25/2016,0.55,0.5515,AMERICAN WATER WORKS CO INC
LOW,2/24/2016,0.59,0.592,LOWE'S COS INC
CRM,2/24/2016,0.19,0.191,SALESFORCE.COM INC
LLY,1/28/2016,0.78,0.783,ELI LILLY & CO
WY,2/5/2016,0.24,0.241,WEYERHAEUSER CO
AME,2/5/2016,0.63,0.633,AMETEK INC
FRT,2/9/2016,1.37,1.376,FEDERAL REALTY INVS TRUST
XRAY,2/12/2016,0.65,0.653,DENTSPLY SIRONA INC
VFC,2/19/2016,0.95,1.009,VF CORP
URI,1/27/2016,2.19,2.3319,UNITED RENTALS INC
BBT,1/21/2016,0.68,0.727,BB&T CORP
PRGO,2/18/2016,1.8,1.927,PERRIGO CO PLC
KMX,12/18/2015,0.63,0.677,CARMAX INC
CF,2/17/2016,0.76,0.8188,CF INDUSTRIES HOLDINGS INC
AN,1/28/2016,0.96,1.035,AUTONATION INC
UNP,1/21/2016,1.31,1.416,UNION PACIFIC CORP
SPLS,3/4/2016,0.26,0.2831,STAPLES INC
IFF,2/10/2016,1.05,1.147,INTL FLAVORS & FRAGRANCES
MET,2/3/2016,1.23,1.3577,METLIFE INC
SE,2/3/2016,0.28,0.309,SPECTRA ENERGY CORP
TSO,2/1/2016,1.83,2.0439,TESORO CORP
PBI,2/2/2016,0.48,0.538,PITNEY BOWES INC
DFS,1/27/2016,1.14,1.3008,DISCOVER FINANCIAL SERVICES
XEC,2/16/2016,-0.25,-0.2206,CIMAREX ENERGY CO
MLM,2/9/2016,1.15,1.338,MARTIN MARIETTA MATERIALS
DISCA,2/18/2016,0.38,0.4432,DISCOVERY COMMUNICATIONS-A
PRU,2/10/2016,1.94,2.297,PRUDENTIAL FINANCIAL INC
CVC,2/25/2016,0.1421,0.168,CABLEVISION SYSTEMS-NY GRP-A
REGN,2/9/2016,2.83,3.374,REGENERON PHARMACEUTICALS
MNST,2/25/2016,0.68,0.819,MONSTER BEVERAGE CORP
EXPE,2/10/2016,0.77,0.9639,EXPEDIA INC
D,2/1/2016,0.7,0.884,DOMINION RESOURCES INC/VA
AIG,2/11/2016,-1.1,-0.91,AMERICAN INTERNATIONAL GROUP
AEE,2/19/2016,0.12,0.154,AMEREN CORPORATION
R,2/2/2016,1.66,1.752,RYDER SYSTEM INC
FLR,2/18/2016,0.68,0.931,FLUOR CORP
EQIX,2/18/2016,2.14,3.071,EQUINIX INC
OXY,2/4/2016,-0.17,-0.126,OCCIDENTAL PETROLEUM CORP
AMZN,1/28/2016,1,1.551,AMAZON.COM INC
AIZ,2/9/2016,0.97,1.539,ASSURANT INC
COP,2/4/2016,-0.9,-0.6457,CONOCOPHILLIPS
CVX,1/29/2016,0.2732,0.4735,CHEVRON CORP
HRB,3/3/2016,-0.34,-0.238,H&R BLOCK INC
NOV,2/3/2016,0.23,0.4376,NATIONAL OILWELL VARCO INC
NEM,2/17/2016,0.04,0.1305,NEWMONT MINING CORP
LVLT,2/4/2016,0.1066,0.536,LEVEL 3 COMMUNICATIONS INC
WMB,2/17/2016,0.01,0.267,WILLIAMS COS INC
BHI,1/28/2016,-0.21,-0.1004,BAKER HUGHES INC
